item_id,title,brand,product_type,bullet_points,color,material,item_dimensions,defect,defect_type,quality_score
B07DNH84WX_DEFECT,I Love You To The Moon And Back Mug Kids Mummy Daddy His Hers Valentines Mum Dad Gift Mug Cup - I Love You To The Moon And Back Mug Kids Mummy Daddy His Hers Valentines Mum Dad Gift Mug Cup,Eono,HOME_BED_AND_BATH, ,,Ceramic,,1,duplicate,66.8
B07T254WNB,Amazon Brand - Solimo Designer Golden Stripes 3D Printed Hard Back Case Mobile Cover for Micromax Canvas Xpress 2 E313,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Micromax Canvas Xpress 2 E313,Others,,,0,none,100.0
B08541R5TD_DEFECT,Amazon Brand,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Realme X, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicon,,1,truncated_title,59.4
B071GVKWQV,"Wickedly Prime Almendras tostadas, canela-az&uacute;car, paquete de 1.5&nbsp;oz (paquete de 15)",Wickedly Prime,GROCERY,Quince 1.5-ounce Snack paquetes,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 4}, 'unit': 'inches', 'value': 4}, 'length': {'normalized_value': {'unit': 'inches', 'value': 12}, 'unit': 'inches', 'value': 12}, 'width': {'normalized_value': {'unit': 'inches', 'value': 11}, 'unit': 'inches', 'value': 11}}",0,none,100.0
B07TRWNBYW_DEFECT,Amazon Brand - Solimo Designer Multicolor Canvas 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi Note 7 Pro,Amazon Brand - Solimo,OFFICE_PRODUCTS,3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi Note 7 Pro,Others,,,1,category_mismatch,42.9
B07L3M84RP,Amazon Brand - find. Women's Two-band Sparkly Open-Toe Flat Sandals,find.,SHOES,An Amazon Brand,,,,0,none,100.0
B08541R65J,Amazon Brand - Solimo Designer Dark Night View UV Printed Soft Back Case Mobile Cover for Mobiistar C1 Lite,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Mobiistar C1 Lite, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicon,,0,none,100.0
B07VQ72KHS_DEFECT,Amazon Brand - Symbol Men's Navy/White Sneakers-11 UK (45 EU) (12 US) (AZ-SY-408) - Amazon Brand - Symbol Men's Navy/White Sneakers-11 UK (45 EU) (12 US) (AZ-SY-408),,SHOES,आउटर मटीरियल: PU आउटर मटीरियल: PU,नीला,PU,,1,duplicate,51.6
B0854FKPLJ,Amazon Brand - Solimo Designer Dark Flowers Photography UV Printed Soft Back Case Mobile Cover for Samsung Galaxy M30,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Samsung Galaxy M30, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicon,,0,none,100.0
B07T9TND12,Amazon Brand - Solimo Designer Sparkle Girl Boss 3D Printed Hard Back Case Mobile Cover for Vivo Y69,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Vivo Y69,Others,,,0,none,100.0
B07BDYY635_DEFECT,Amazon Brand - Symbol Men's Navy Sneakers-10 UK/India (44 EU) (AZ-YS-189 A),,SHOES,Material: Synthetic,,,,1,missing_attribute,59.1
B0856B4TS9_DEFECT,Amazon Brand - Solimo Designer Happy Girls are The Prettiest UV Printed Soft Back Case Mobile Cover for Mi Redmi Note 3,Amazon Brand - Solimo,HOME_FURNITURE,"Snug fit for Mi Redmi Note 3, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicon,,1,category_mismatch,48.8
B0853WSQYY_DEFECT,Amazon Brand,,CELLULAR_PHONE_CASE,"Snug fit for Realme C3, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Plastic,,1,truncated_title,45.6
B074MFQS9B,"365 Everyday Value, Pitted Prunes, 8 oz",365 by Whole Foods Market,FRUIT,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!",,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 6.25}, 'unit': 'inches', 'value': 6.25}, 'length': {'normalized_value': {'unit': 'inches', 'value': 2.88}, 'unit': 'inches', 'value': 2.88}, 'width': {'normalized_value': {'unit': 'inches', 'value': 8.5}, 'unit': 'inches', 'value': 8.5}}",0,none,100.0
B08569KZPH,Amazon Brand - Solimo Designer White Dog UV Printed Soft Back Case Mobile Cover for Samsung Galaxy A8 Plus,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Samsung Galaxy A8 Plus, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicon,,0,none,100.0
B07R5V7F3H,Amazon Brand - Solimo Designer Floral Printed Hard Back Case Mobile Cover for Xiaomi Redmi 5 (D1159),Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Xiaomi Redmi 5, with perfect cutouts for volume buttons, audio & charging ports",multi-colored,,,0,none,100.0
B01C9LK87M,Genuine Emerald and Cubic Zirconia Stud Earrings,Amazon Collection,EARRING,,Green,sterling-silver,,0,none,100.0
B07VDFPV5Q,"AmazonBasics - Grijze cross-cut versnipperaar voor papier en creditcards, met verwijderbare afvalcontainer, voor 5-6 lagig papier",AmazonBasics,OFFICE_ELECTRONICS,,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 13.94094486767}, 'unit': 'centimeters', 'value': 35.41}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.42125983087}, 'unit': 'centimeters', 'value': 29.01}, 'width': {'normalized_value': {'unit': 'inches', 'value': 5.511811018}, 'unit': 'centimeters', 'value': 14}}",0,none,100.0
B075HBTX4M,AmazonBasics 캡 마감 커튼 봉,AmazonBasics,HOME,"Adjustable-length curtain rod in Espresso (Dark Bronze) extends from 36 to 72 inches end-to-end excluding finials, 41 to 77 inches including finials",Bronze,Acero,,0,none,100.0
B07TBV4DL6,Amazon Brand - Solimo Designer Flowers Photograpy 3D Printed Hard Back Case Mobile Cover for Apple iPhone Xs Max,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Apple iPhone XS Max,Others,,,0,none,100.0
B07T1JV3SK_DEFECT,Amazon Brand,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Samsung Galaxy Note 3 Neo,Others,,,1,truncated_title,56.7
B07TG4VZMD,Amazon Brand - Solimo Designer Sparkling Stars 3D Printed Hard Back Case Mobile Cover for Huawei G8,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Huawei G8,Others,,,0,none,100.0
B081HNGR5N,Amazon Brand - Solimo Designer Heart Design 3D Printed Hard Back Case Mobile Cover for Motorola Moto E6s / Motorola Moto E6 Plus,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports",multi-colored,Plastic,,0,none,100.0
B01N27SMXC_DEFECT,"THE FIX 女式 foley 流苏一脚蹬凉鞋, 米色, 6.5 B(M) US",,SHOES,menswear-inspired Fransen schmücken das Leder Slide Sandale mit minimalistischen Ferse.,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 4.13}, 'unit': 'inches', 'value': 4.13}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.61}, 'unit': 'inches', 'value': 11.61}, 'width': {'normalized_value': {'unit': 'inches', 'value': 5.51}, 'unit': 'inches', 'value': 5.51}}",1,missing_attribute,63.7
B0856G6NYZ,Amazon Brand - Solimo Designer Multicolor Heart Pattern Alphabet-G Printed Soft Back Case Mobile Cover for Motorola Moto E6s / Motorola Moto E6 Plus,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports",multi-colored,,,0,none,100.0
B07TF1CQBF,Amazon Brand - Solimo Designer Red and Purple Brick 3D Printed Hard Back Case Mobile Cover for Motorola Moto G4 Play,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Motorola Moto G4 Play,Others,,,0,none,100.0
B07FS68L6N,"Umi Red Wine Glasses Lead Free 15oz with Clear Long Crystal Diamond Stem - Birthday, Anniversary or Wedding Gifts",UMI,KITCHEN,"Size: Volume 15oz (440 ml), Height 240 mm, Diameter 85mm",,Crystal,"{'height': {'normalized_value': {'unit': 'inches', 'value': 3.34645}, 'unit': 'millimeters', 'value': 85}, 'length': {'normalized_value': {'unit': 'inches', 'value': 9.4488}, 'unit': 'millimeters', 'value': 240}, 'width': {'normalized_value': {'unit': 'inches', 'value': 3.34645}, 'unit': 'millimeters', 'value': 85}}",0,none,100.0
B0853X1CBB_DEFECT,Amazon Brand - Solimo Designer Autumn Girl 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy M30,,CELLULAR_PHONE_CASE,"Snug fit for Samsung Galaxy M30, with perfect cut-outs for volume buttons, audio and charging ports",,,,1,missing_attribute,63.7
B08547754G,Amazon Brand - Solimo Designer Kitty UV Printed Soft Back Case Mobile Cover for Asus ZenFone Max Pro M2,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Asus ZenFone Max Pro M2, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicone,,0,none,100.0
B073HJM3L4_DEFECT,AmazonBasics H11 Bolsas para aspiradora con control de olores para Hoover (4 unidades),AmazonBasics,HOME_FURNITURE,Ofrece una mayor capacidad de succión y hasta un 50% más de vida útil en comparación con bolsas de papel para aspiradora.,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 12.992125971}, 'unit': 'centimeters', 'value': 33}, 'length': {'normalized_value': {'unit': 'inches', 'value': 0.9842519675}, 'unit': 'centimeters', 'value': 2.5}, 'width': {'normalized_value': {'unit': 'inches', 'value': 10.629921249}, 'unit': 'centimeters', 'value': 27}}",1,category_mismatch,48.0
B07T6V6R6V_DEFECT,Amazon Brand - Solimo Designer Skeletan 3D Printed Hard Back Case Mobile Cover for Micromax Canvas Juice 3 Q392,,ELECTRONICS,3D Printed Hard Back Case Mobile Cover for Micromax Canvas Juice 3 Q392,Others,,,1,category_mismatch,34.2
B000FVUADG,"Pinzon 13-Inch Parsley Chargers, Set of 4",Pinzon by Amazon,DISHWARE_PLATE,Includes 4 13-inch chargers for serving entrees or layering dinner plates,,,,0,none,100.0
B07FZM1SNH,"Essentials Men's Big-Tall Stretch Woven Braid Belt, khaki, 48",Amazon Essentials,ACCESSORY,Ajuste perfecto/ajustable: cinturón trenzado de encaje con agujeros alrededor de la correa. Nuestro cinturón Amazon Essentials te proporciona la opción de ajuste más ajustable con agujeros ubicados cada 1/4 pulgadas. Más de 50 agujeros para cinturón te permiten encontrar tu ajuste perfecto todo el día.,khaki,,,0,none,100.0
B081HNG3P5,Amazon Brand - Solimo Designer Triangle Pattern 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy A50s,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports",multi-colored,Plastic,,0,none,100.0
B07T6VBS5K_DEFECT,Amazon Brand - Solimo Designer Red and Cream Color Wood 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy A7 (2016),,HOME_FURNITURE,3D Printed Hard Back Case Mobile Cover for Samsung Galaxy A7 (2016),Others,Wood,,1,category_mismatch,34.9
B00GBUJF3G,strathwood 耐风雨深座户外 recliner,Strathwood by Amazon.com,CHAIR,室外躺椅作为椅子躺椅视位置,,Steel +Glass,"{'height': {'normalized_value': {'unit': 'inches', 'value': 38.5826784}, 'unit': 'inches', 'value': 38.5826784}, 'length': {'normalized_value': {'unit': 'inches', 'value': 36.2204736}, 'unit': 'inches', 'value': 36.2204736}, 'width': {'normalized_value': {'unit': 'inches', 'value': 26.3779536}, 'unit': 'inches', 'value': 26.3779536}}",0,none,100.0
B01MR78EZO_DEFECT,Marca Amazon,,SHOES,Diseño clásico con elástico en contraste,,,,1,truncated_title,35.8
B07XYQ7FWD,"UMI. by Amazon - Oreiller en Plumes et Duvet d'oie Blanche avec Housse en Coton, Lavable en Machine, 80x80cm, Lot de 2",UMI,HOME,"TAILLE: 80x80cm, deux oreillers sont emballés sous vide et roulés dans un sac en PVC pour l'expédition.",,,,0,none,100.0
B07T9TPDY8_DEFECT,Amazon Brand,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Vivo Y69,Others,,,1,truncated_title,68.0
B0857MDG5H_DEFECT,Amazon Brand,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Oppo F9 Pro, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicon,,1,truncated_title,61.4
B07HFWK673_DEFECT,[Amazon Collection],Amazon Collection(アマゾンコレクション),RING,素材:スターリングシルバー(プラチナメッキ加工),,,,1,truncated_title,63.5
B07TG4KZ16_DEFECT,Amazon Brand - Solimo Designer Golden Stripes 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy J2 Core,Amazon Brand - Solimo,ELECTRONICS,3D Printed Hard Back Case Mobile Cover for Samsung Galaxy J2 Core,Others,,,1,category_mismatch,44.2
B0857M81YH_DEFECT,Amazon Brand,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Vivo V3, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicon,,1,truncated_title,62.3
B08BYCZNPT_DEFECT,[Amazonブランド] Umi.(ウミ)ランドリーバスケット ランドリーボックス 折りたたみ式 ハンドル付き 45L,Umi.(ウミ),BEAUTY,【スリムサイズで持ち運びに便利】39㎝x20㎝x56㎝のサイズで、洗濯機と乾燥機の間の狭いスペースや小さなキャビネットエリアなどの場所に適切。そして、20x40x6㎝の小さいサイズに折りたたみ可能。,米色1,,,1,category_mismatch,57.5
B07GT8V1ZF,"Marchio Amazon- Solimo Integratore alimentare di olio di pesce con omega 3 extra forte (1000 mg), 180 capsule",Solimo,NUTRITIONAL_SUPPLEMENT,Gli omega 3 contengono gli acidi grassi essenziali EPA e DHA che contribuiscono alla normale funzione cardiaca,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 3.149606296}, 'unit': 'centimeters', 'value': 8}, 'length': {'normalized_value': {'unit': 'inches', 'value': 9.055118101}, 'unit': 'centimeters', 'value': 23}, 'width': {'normalized_value': {'unit': 'inches', 'value': 6.1023621985}, 'unit': 'centimeters', 'value': 15.5}}",0,none,100.0
B0856B14VK_DEFECT,Amazon Brand - Solimo Designer Stone Heart 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy A51 - Amazon Brand - Solimo Designer Stone Heart 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy A51,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Samsung Galaxy A51, with perfect cut-outs for volume buttons, audio and charging ports Snug fit for Samsung Galaxy A51, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Plastic,,1,duplicate,72.6
B07TH3755J_DEFECT,Amazon Brand - Solimo Designer Kissing Couple 3D Printed Hard Back Case Mobile Cover for Nokia 2.1,Amazon Brand - Solimo,BEAUTY,3D Printed Hard Back Case Mobile Cover for Nokia 2.1,Others,,,1,category_mismatch,49.2
B0757XXRBR,AmazonBasics Remanufactured Ink Kartuş Replacement for Canon CLI 521,AmazonBasics,OFFICE_PRODUCTS,,Photo Black,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 1.5}, 'unit': 'inches', 'value': 1.5}, 'length': {'normalized_value': {'unit': 'inches', 'value': 3}, 'unit': 'inches', 'value': 3}, 'width': {'normalized_value': {'unit': 'inches', 'value': 0.8}, 'unit': 'inches', 'value': 0.8}}",0,none,100.0
B08283F14G,"Solimo 10L Bin Liners, 75 stuks per rol, 3 stuks",Solimo,ABIS_DRUGSTORE,hoogwaardige vuilnisbakken zijn gemaakt van extra sterk en extra duurzaam kunststof (HDPE),,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 2.362204722}, 'unit': 'centimeters', 'value': 6}, 'length': {'normalized_value': {'unit': 'inches', 'value': 7.086614166}, 'unit': 'centimeters', 'value': 18}, 'width': {'normalized_value': {'unit': 'inches', 'value': 3.93700787}, 'unit': 'centimeters', 'value': 10}}",0,none,100.0
B07YN48J13,"Amazon merk - Movian MULTIBOX 6, bookcase, 73,7 x 33,1 x 108.2 cm, wit",Movian,HOME_FURNITURE_AND_DECOR,"White MFC (melamine gedeeltelijk board), ABS rand",White,Other,"{'height': {'normalized_value': {'unit': 'inches', 'value': 42.5984251534}, 'unit': 'centimeters', 'value': 108.2}, 'length': {'normalized_value': {'unit': 'inches', 'value': 29.0157480019}, 'unit': 'centimeters', 'value': 73.7}, 'width': {'normalized_value': {'unit': 'inches', 'value': 13.0314960497}, 'unit': 'centimeters', 'value': 33.1}}",0,none,100.0
B084MZ4HYV,Burwood Men's Black Leather Formal Shoes-6 UK (40 EU) (BW 397),Burwood,SHOES,आउटर मटीरियल: लेदर,काला,,,0,none,100.0
B075WYYHXT_DEFECT,"Rivet Navy Swatch, 25010043 Azul Mochila - Rivet Navy Swatch, 25010043 Azul Mochila",Rivet,BENCH, ,Marino,,,1,duplicate,78.7
B0853WYZ2L_DEFECT,Amazon Brand - Solimo Designer Lake View UV Printed Soft Back Case Mobile Cover for Tecno Camon i Twin,Amazon Brand - Solimo,HARDWARE,"Snug fit for Tecno Camon i Twin, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Silicone,,1,category_mismatch,44.3
B07TG4W6YJ,Amazon Brand - Solimo Designer Shake 3D Printed Hard Back Case Mobile Cover for Vivo Y27L,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Vivo Y27L,Others,,,0,none,100.0
B00I8T4J5C_DEFECT,AmazonBasics 7-Inch,AmazonBasics,PORTABLE_ELECTRONIC_DEVICE_COVER,Form-fitting sleeve with quick top-loading access,Black,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 0.8}, 'unit': 'inches', 'value': 0.8}, 'length': {'normalized_value': {'unit': 'inches', 'value': 8.2}, 'unit': 'inches', 'value': 8.2}, 'width': {'normalized_value': {'unit': 'inches', 'value': 5.4}, 'unit': 'inches', 'value': 5.4}}",1,truncated_title,57.2
B07T1L9NJW,AmazonBasics 200TC Poly Cotton Flat Sheet,AmazonBasics,FLAT_SHEET,,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 1.18}, 'unit': 'inches', 'value': 1.18}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.02}, 'unit': 'inches', 'value': 11.02}, 'width': {'normalized_value': {'unit': 'inches', 'value': 9.65}, 'unit': 'inches', 'value': 9.65}}",0,none,100.0
